---------------------------------
    Results for GMC_10075_G5_5uM_Day6.avi 
---------------------------------
Raw data:
Particle    BPM    Bend Measure    Speed    Area    Appears in frames    Region
278    25.538793    3.692349    0.024490    0.007744    923    all
279    48.620690    2.453766    0.026285    0.007260    286    all
280    2.610966    2.685361    0.000807    0.005808    1150    all
281    54.675119    2.310850    0.025166    0.008228    614    all
282    31.718062    1.867299    0.007840    0.008833    212    all
283    32.637076    3.143004    0.015696    0.009075    1148    all
284    22.641509    1.741186    0.010125    0.009801    247    all
285    1.305483    3.524585    0.000985    0.005687    1113    all
286    21.409922    2.735952    0.009244    0.004598    909    all
287    13.343558    3.107145    0.007041    0.008349    649    all
288    38.120104    3.733695    0.000624    0.010285    1119    all
289    43.321300    2.244347    0.022629    0.009317    264    all
290    10.704961    2.956262    0.007826    0.005566    1150    all
291    2.752294    1.889604    0.001123    0.005687    322    all
292    30.248619    1.424650    0.001417    0.006776    668    all
293    14.615385    2.684885    0.003025    0.004840    389    all
294    0.000000    3.624916    0.000256    0.005203    1136    all
295    41.826923    2.673782    0.009620    0.007986    209    all
296    19.889503    0.810852    0.004402    0.006534    338    all
297    54.658385    2.444537    0.033032    0.005808    473    all
298    21.702128    1.013271    0.008367    0.008349    899    all
299    13.577023    4.159458    0.005128    0.007139    1150    all
300    31.070496    1.417105    0.020170    0.004235    1150    all
301    39.189189    2.555261    0.019608    0.009801    203    all
302    2.610966    2.031727    0.000476    0.003509    1141    all
303    50.785340    1.694377    0.018978    0.007986    571    all
304    0.522193    0.851889    0.000704    0.011616    1132    all
305    34.582133    2.819070    0.027034    0.008833    348    all
306    25.571726    3.230344    0.013605    0.008349    481    all
307    25.977654    3.418550    0.011173    0.007139    347    all
308    22.923588    3.171045    0.015779    0.008833    298    all
309    37.974684    2.008279    0.025182    0.009680    475    all
310    41.413043    2.829356    0.001504    0.006292    795    all
311    59.717868    2.680490    0.017417    0.010406    639    all
312    44.404332    0.389094    0.012157    0.006776    545    all
313    12.271540    1.306890    0.002433    0.009438    1124    all
314    12.793734    3.355064    0.000606    0.008833    1147    all
315    8.720930    2.051300    0.008048    0.005687    498    all
316    12.650602    3.590363    0.001139    0.008228    830    all
317    36.956522    2.198017    0.010458    0.011616    258    all
318    46.351931    3.464230    0.038471    0.007744    214    all
319    12.834225    1.721922    0.005528    0.003509    935    all
320    31.070496    3.366547    0.016431    0.004235    1139    all
321    16.112532    1.388350    0.005956    0.008228    780    all
322    13.838120    3.080497    0.005677    0.005808    1126    all
323    21.932115    2.407817    0.023053    0.004719    1146    all
324    21.014493    1.423523    0.015174    0.006171    415    all
325    41.514360    2.409584    0.017221    0.009075    1150    all
326    8.915305    1.837501    0.002740    0.008349    673    all
327    37.168142    2.120913    0.010220    0.007139    213    all
328    31.629393    2.804682    0.015876    0.007865    308    all
329    2.088773    4.077740    0.000249    0.006413    1150    all
330    2.088773    0.241569    0.000715    0.008349    1145    all
331    30.414747    3.410621    0.020471    0.003267    217    all
332    0.000000    0.859984    0.001040    0.009559    1150    all
333    40.731070    1.130885    0.017650    0.006292    1150    all
334    18.750000    2.667247    0.017169    0.007381    561    all
335    13.584906    2.089231    0.000716    0.005082    873    all
336    20.104439    2.602324    0.003480    0.004840    1147    all
337    28.198433    1.108999    0.015956    0.003146    1149    all
338    28.459530    3.126256    0.010285    0.003146    1146    all
339    0.000000    3.759787    0.000421    0.007139    1036    all
340    16.195373    2.007952    0.000305    0.003630    280    all
341    7.446809    1.957313    0.004552    0.004719    244    all
342    66.141732    1.637818    0.035187    0.005324    249    all
343    49.856734    0.427411    0.016535    0.008470    699    all
344    29.862700    2.240435    0.020909    0.005082    854    all
345    22.518160    2.081543    0.016132    0.008228    396    all
346    45.098039    3.723066    0.016849    0.007260    917    all
347    14.895470    3.592820    0.000491    0.005808    1048    all
348    70.093458    1.805008    0.033352    0.007865    215    all
349    22.566372    2.663742    0.003213    0.004174    215    all
350    60.280374    1.116977    0.001118    0.008712    211    all
351    23.768737    3.390775    0.000965    0.003751    300    all
352    8.865586    0.840311    0.001563    0.006534    789    all
353    0.000000    1.417103    0.000568    0.003872    593    all
354    60.948081    3.476552    0.029290    0.010285    442    all
355    12.676056    2.375312    0.002922    0.006534    214    all
356    42.424242    2.081340    0.001121    0.008954    321    all
357    42.654028    0.418658    0.023002    0.005082    210    all
358    28.247602    3.043605    0.008243    0.003509    898    all
359    33.766234    1.701377    0.022319    0.005203    224    all
360    0.000000    1.391417    0.001433    0.006050    238    all
361    38.793103    2.526987    0.009994    0.008712    465    all
362    20.539419    3.040671    0.010904    0.003146    465    all
363    40.820734    3.081166    0.026080    0.007139    464    all
364    55.813953    0.437119    0.029310    0.010527    359    all
365    20.960699    0.776647    0.022288    0.006534    216    all
366    30.188679    1.094891    0.006638    0.006050    287    all
367    2.059497    3.157967    0.000800    0.008954    310    all
368    62.585034    2.649008    0.021103    0.003993    434    all
369    40.087336    3.404758    0.017620    0.006655    1131    all
370    43.529412    0.926941    0.011152    0.003509    511    all
371    26.732673    2.187703    0.007315    0.009256    294    all
372    36.585366    2.074430    0.001397    0.005808    287    all
373    25.139665    2.878410    0.019903    0.004114    359    all
374    1.149425    3.121787    0.001711    0.004598    200    all
375    31.413613    3.476848    0.015109    0.003630    570    all
376    12.534819    2.532824    0.001051    0.007260    204    all
377    36.046512    0.685886    0.014592    0.005203    239    all
378    47.872340    0.166904    0.025738    0.007018    276    all
379    46.443515    2.978279    0.027911    0.003509    457    all
380    12.582781    2.344947    0.001888    0.006413    888    all
381    41.721854    3.796222    0.008972    0.008228    836    all
382    36.421725    1.095491    0.023936    0.008712    291    all
383    24.324324    4.023580    0.001265    0.006292    276    all
384    8.713693    3.361575    0.001779    0.007139    471    all
385    5.468750    0.600587    0.000707    0.004598    299    all
386    60.138249    3.018009    0.020390    0.003146    417    all
387    0.000000    0.676908    0.000192    0.003388    322    all
388    31.818182    0.334419    0.009807    0.007139    231    all
389    32.978723    4.317199    0.011443    0.007744    266    all
390    38.870432    2.549764    0.027632    0.005445    283    all
391    54.418605    0.989815    0.031457    0.003872    209    all
392    12.121212    1.943548    0.009335    0.010527    365    all
393    31.698113    1.903949    0.008746    0.007502    265    all
394    38.383838    2.606877    0.023449    0.008349    284    all
395    41.729323    3.720773    0.032075    0.006655    249    all
396    59.611231    2.790878    0.023018    0.005324    458    all
397    24.622030    2.320247    0.020969    0.004719    452    all
398    20.066890    3.420738    0.007280    0.007744    260    all
399    31.103679    3.616813    0.013814    0.007744    255    all
400    71.266968    2.231984    0.029227    0.007744    398    all
401    37.837838    1.510313    0.013483    0.008349    205    all
402    33.161157    1.611374    0.020485    0.006776    968    all
403    22.000000    1.045657    0.011313    0.008591    220    all
404    17.910448    2.729020    0.000851    0.009317    404    all
405    0.882353    1.728433    0.001162    0.007018    326    all
406    36.494845    3.249540    0.012042    0.007018    474    all
407    12.857143    2.047012    0.004543    0.009559    597    all
408    69.047619    3.616488    0.035389    0.007260    362    all
409    24.800000    2.186300    0.016542    0.007986    1122    all
410    46.779661    3.709560    0.013054    0.006171    277    all
411    54.919908    3.905904    0.021161    0.008954    427    all
412    17.105263    2.432404    0.010631    0.006776    211    all
413    9.633028    0.188717    0.001602    0.007139    429    all
414    37.894737    2.006255    0.023465    0.009559    271    all
415    41.208791    0.457641    0.027914    0.006534    522    all
416    40.000000    1.461942    0.021613    0.005082    206    all
417    18.432769    1.585099    0.005529    0.008833    1099    all
418    28.346457    1.055324    0.018972    0.008712    253    all
419    5.010438    1.393944    0.000513    0.007986    952    all
420    18.210863    3.703045    0.020772    0.009922    625    all
421    1.382488    2.983587    0.000350    0.008893    426    all
422    36.123348    2.473834    0.023876    0.005203    677    all
423    52.655889    0.283786    0.010512    0.007865    348    all
424    47.113164    3.038383    0.017354    0.003751    434    all
425    3.658537    1.742995    0.003102    0.007623    402    all
426    56.756757    0.354623    0.016799    0.008470    349    all
427    51.301115    2.351221    0.025006    0.006897    265    all
428    38.434164    3.853509    0.019039    0.008833    540    all
429    32.805071    1.613700    0.023157    0.007502    625    all
430    22.998873    1.876257    0.004251    0.004356    811    all
431    57.142857    1.743071    0.045886    0.008712    531    all
432    20.853081    0.305574    0.003798    0.003751    633    all
433    39.867110    3.064309    0.031285    0.005324    297    all
434    28.911565    3.786544    0.017178    0.003509    883    all
435    19.047619    1.301833    0.007353    0.003751    876    all
436    41.836735    2.955124    0.019198    0.009438    883    all
437    18.279570    0.318841    0.004980    0.006413    269    all
438    60.215054    2.880918    0.020663    0.005687    274    all
439    31.914894    2.687231    0.014472    0.008107    648    all
440    16.413374    1.860330    0.017425    0.003872    651    all
441    42.500000    1.390018    0.028320    0.004114    471    all
442    28.512397    2.535224    0.014346    0.007744    480    all
443    8.108108    1.345961    0.001250    0.008470    1091    all
444    43.511450    0.246652    0.033370    0.005324    359    all
445    26.129032    2.788414    0.007845    0.007623    305    all
446    33.333333    1.402733    0.019228    0.005929    215    all
447    22.695035    2.377170    0.011984    0.006534    842    all
448    1.224490    0.175459    0.027333    0.009075    725    all
449    1.034483    2.509667    0.001634    0.008591    278    all
450    43.292683    2.069191    0.024216    0.007502    481    all
451    35.424354    3.081426    0.019524    0.009075    255    all
452    53.164557    3.337305    0.013616    0.007986    291    all
453    21.716649    3.666909    0.034483    0.010043    915    all
454    26.190476    3.934475    0.020998    0.008712    501    all
455    16.626506    1.816878    0.001954    0.007744    394    all
456    33.609959    2.197854    0.017604    0.009075    240    all
457    26.694915    2.771884    0.012619    0.006050    226    all
458    61.111111    2.889949    0.032407    0.008228    635    all
459    44.444444    2.836164    0.022155    0.007623    377    all
460    43.793103    1.006509    0.027526    0.009075    866    all
461    40.342298    3.590026    0.024866    0.007986    397    all
462    40.959410    0.135037    0.017539    0.007018    265    all
463    34.332425    3.527388    0.019748    0.007865    735    all
464    35.294118    3.273837    0.003970    0.007623    259    all
465    69.902913    2.869989    0.025010    0.007623    201    all
466    22.270742    2.115928    0.005474    0.004840    216    all
467    19.921875    3.156974    0.010292    0.009559    235    all
468    78.597786    2.483656    0.034721    0.008349    265    all
469    34.741144    0.418254    0.028583    0.008591    724    all
470    29.545455    1.531537    0.016892    0.008107    519    all
471    23.364486    2.830426    0.023229    0.007865    205    all
472    0.000000    2.558134    0.000375    0.007260    523    all
473    38.560411    3.162456    0.015509    0.010285    750    all
474    34.413965    3.497881    0.021223    0.008349    384    all
475    30.673317    1.992723    0.023664    0.007260    392    all
476    27.675277    2.451104    0.003223    0.007260    271    all
477    8.955224    2.160214    0.001045    0.007018    241    all
478    49.350649    1.642474    0.022332    0.004356    204    all
479    38.013699    2.834008    0.016268    0.009438    287    all
480    41.208791    0.750873    0.026153    0.010769    1081    all
481    39.560440    3.619807    0.020620    0.008107    634    all
482    40.760870    4.919638    0.009645    0.010164    368    all
483    12.500000    2.949622    0.003485    0.008228    710    all
484    41.823899    3.591495    0.020861    0.004235    955    all
485    21.428571    0.813912    0.031309    0.005445    440    all
486    8.354430    0.334448    0.008766    0.007018    312    all
