---------------------------------
    Results for GMC_DMSO_Day6.avi 
---------------------------------
Raw data:
Particle    BPM    Bend Measure    Speed    Area    Appears in frames    Region
246    48.425197    0.766122    0.020216    0.007865    244    all
247    48.679245    3.006419    0.027340    0.008107    202    all
248    15.730337    0.465035    0.000635    0.008833    266    all
249    11.791908    1.767710    0.015671    0.005324    852    all
250    22.471910    0.000000    0.010374    0.010043    266    all
251    36.486486    3.526186    0.026143    0.010769    222    all
252    31.262525    2.251862    0.015889    0.003630    993    all
253    24.043716    2.024164    0.017840    0.006292    368    all
254    33.574007    1.348066    0.017641    0.008349    266    all
255    43.496802    2.495059    0.025083    0.008954    462    all
256    28.301887    2.611323    0.023538    0.005324    259    all
257    34.554974    1.555149    0.014300    0.008349    571    all
258    8.606557    2.434432    0.005535    0.006534    237    all
259    23.232323    3.066892    0.004098    0.004356    559    all
260    8.462238    1.899032    0.009610    0.006292    1089    all
261    30.084746    0.208023    0.021527    0.008228    691    all
262    52.615385    0.717978    0.023045    0.004961    325    all
263    21.615721    2.139554    0.006653    0.006534    448    all
264    0.000000    1.074924    0.001104    0.007502    345    all
265    49.893390    3.659074    0.019847    0.008470    465    all
266    24.203822    3.265326    0.012095    0.005445    353    all
267    0.000000    0.344311    0.000306    0.005929    236    all
268    26.434426    2.637391    0.000670    0.006171    321    all
269    42.391304    1.910022    0.021828    0.006413    435    all
270    35.714286    1.030181    0.006715    0.010164    228    all
271    32.908163    2.655679    0.000668    0.007865    264    all
272    0.000000    3.043001    0.000457    0.007260    437    all
273    2.090592    0.855720    0.000161    0.006776    247    all


